Year,Month,Day,Hour(UTC),Minute(UTC),Second(UTC),Latitude (deg),Longitude (deg),Altitude (km),Cd,Aref (m2)
2022,2,5,9,6,33.069696,51.0429788149304,7.02183622805148,247.479944884663,5.83095352361926,1.4718369732906
2022,2,5,9,7,33.06797,49.6172715892162,12.6829952231859,243.581894457526,5.85510036105325,1.57588009412335
2022,2,5,9,8,33.067869,47.9057269175174,17.9835329815356,239.770467719721,5.82076067089167,1.50292233048239
2022,2,5,9,9,33.067779,45.9413157814339,22.9107219009316,236.072275952684,5.80353254933217,1.48101430149798
2022,2,5,9,10,33.067598,43.7561471423364,27.4710671030362,232.515176857395,5.7696133968512,1.40417817456359
2022,2,5,9,11,33.067455,41.38012800001,31.6842000559937,229.127425884374,5.7594735274518,1.4068164565076
2022,2,5,9,12,33.067287,38.8402793822248,35.5775843951322,225.937343753891,5.74036338902017,1.37966202897393
2022,2,5,9,13,33.067222,36.1605088257222,39.1825001479721,222.97285201716,5.762341645212,1.49366732524498
2022,2,5,9,14,33.067165,33.361718566102,42.5312252318901,220.261428539662,5.79184201528607,1.59695507409965
2022,2,5,9,15,33.068714,30.4619752788,45.6553838169113,217.829789444054,5.80881734982797,1.64840768401313
2022,2,5,9,16,33.066765,27.4772639401407,48.5845515456942,215.702916733865,5.83017635942577,1.6977156611805
2022,2,5,9,17,33.067194,24.4209742003801,51.3466866567285,213.904128429066,5.8303627374578,1.70319022442726
2022,2,5,9,18,33.068441,21.3051387031207,53.9671030284123,212.454466759643,5.82483276483906,1.70295388288571
2022,2,5,9,19,33.066408,18.1405225630474,56.4688568439445,211.373392785078,5.78482186286922,1.6306946584756
2022,2,5,9,20,33.066789,14.9362342151187,58.8734791349496,210.674243116127,5.78765223296543,1.64019870024487
2022,2,5,9,21,33.066136,11.7009555919088,61.2004298506417,210.3689239573,5.79006139299347,1.64940550324641
2022,2,5,9,22,33.066736,8.4423609843355,63.4680196776471,210.466569070912,5.81316173276086,1.68782820528351
2022,2,5,9,23,33.065984,5.16786008968974,65.6932965513917,210.97210740705,5.88754851164496,1.79854748949368
2022,2,5,9,24,33.065897,1.88423930713373,67.892706633373,211.886292476862,6.06977307573298,2.04757595869941
2022,2,5,9,25,33.065817,-1.40179935801511,70.0821105108084,213.206442522134,6.1346836618535,2.13322897166242
2022,2,5,9,26,33.069449,-4.68389595724943,72.2773227056947,214.927136242128,5.93741986043769,1.8492676457655
2022,2,5,9,27,33.065593,-7.95483653634461,74.4937054137891,217.036916984875,5.83550295679283,1.60723444209594
2022,2,5,9,28,33.065422,-11.2084617791161,76.7478198792907,219.520175811763,5.7610237860424,1.24869927753017
2022,2,5,9,29,33.066871,-14.4375944956478,79.056402057182,222.358026443632,5.78065073892085,1.20907606649648
2022,2,5,9,30,33.071385,-17.634798033425,81.4372758062227,225.530486312645,5.82206007699594,1.35213140488172
2022,2,5,9,31,33.072411,-20.7915905017585,83.9091824322593,229.012877998475,5.87588620945963,1.49558950715407
2022,2,5,9,32,33.066063,-23.8988372419206,86.4924660823108,232.77793865061,6.15200991373338,1.98179441607005
2022,2,5,9,33,33.066686,-26.9473094003717,89.2100724088164,236.795862196648,6.36648484463222,2.20412630654716
2022,2,5,9,34,33.06467,-29.9252599622435,92.0859202547816,241.034860880357,6.45243015162677,2.30334462049038
2022,2,5,9,35,33.064574,-32.820095074725,95.1466998058707,245.461878473167,6.48102955546774,2.32701200551988
2022,2,5,9,36,33.064771,-35.6170240397245,98.4208831885477,250.042614919769,6.24207313621105,2.00490662282075
2022,2,5,9,37,33.064419,-38.2990784713356,101.938682480918,254.742689499074,6.0869922759597,1.70307723809037
2022,2,5,9,38,33.064424,-40.8468249012694,105.731315725766,259.525795234832,6.02872281742661,1.49456591872205
